,number,file_name,phage_regions,intact,questionable,incomplete
34,34.0,GCA_001697425.1_ASM169742v1_genomic,2.0,1.0,1.0,0.0
35,35.0,GCA_001697445.1_ASM169744v1_genomic,2.0,1.0,1.0,0.0
36,36.0,GCA_001697465.1_ASM169746v1_genomic,2.0,1.0,1.0,0.0
37,37.0,GCA_001697485.1_ASM169748v1_genomic,2.0,1.0,1.0,0.0
38,38.0,GCA_001697505.1_ASM169750v1_genomic,1.0,1.0,0.0,0.0
39,39.0,GCA_001697525.1_ASM169752v1_genomic,2.0,1.0,1.0,0.0
40,40.0,GCA_001697545.1_ASM169754v1_genomic,2.0,1.0,1.0,0.0
41,41.0,GCA_001697565.1_ASM169756v1_genomic,2.0,1.0,1.0,0.0
42,42.0,GCA_001697585.1_ASM169758v1_genomic,2.0,1.0,1.0,0.0
43,43.0,GCA_001697605.1_ASM169760v1_genomic,2.0,1.0,1.0,0.0
44,44.0,GCA_001697625.1_ASM169762v1_genomic,1.0,1.0,0.0,0.0
45,45.0,GCA_001697645.1_ASM169764v1_genomic,2.0,1.0,1.0,0.0
46,46.0,GCA_001697665.1_ASM169766v1_genomic,2.0,1.0,1.0,0.0
47,47.0,GCA_001697685.1_ASM169768v1_genomic,2.0,1.0,1.0,0.0
48,48.0,GCA_001697705.1_ASM169770v1_genomic,2.0,1.0,1.0,0.0
49,49.0,GCA_001697725.1_ASM169772v1_genomic,2.0,1.0,1.0,0.0
50,50.0,GCA_001697745.1_ASM169774v1_genomic,2.0,1.0,1.0,0.0
51,51.0,GCA_001697765.1_ASM169776v1_genomic,2.0,1.0,1.0,0.0
52,52.0,GCA_001697785.1_ASM169778v1_genomic,2.0,1.0,1.0,0.0
53,53.0,GCA_001697805.1_ASM169780v1_genomic,2.0,1.0,1.0,0.0
54,54.0,GCA_001697825.1_ASM169782v1_genomic,2.0,1.0,1.0,0.0
55,55.0,GCA_001697845.1_ASM169784v1_genomic,1.0,1.0,0.0,0.0
56,56.0,GCA_001697865.1_ASM169786v1_genomic,1.0,1.0,0.0,0.0
57,57.0,GCA_001697885.1_ASM169788v1_genomic,2.0,1.0,1.0,0.0
58,58.0,GCA_001697905.1_ASM169790v1_genomic,2.0,1.0,1.0,0.0
59,59.0,GCA_001697925.1_ASM169792v1_genomic,2.0,1.0,1.0,0.0
60,60.0,GCA_001697945.1_ASM169794v1_genomic,2.0,1.0,1.0,0.0
61,61.0,GCA_001697965.1_ASM169796v1_genomic,2.0,1.0,1.0,0.0
62,62.0,GCA_001697985.1_ASM169798v1_genomic,2.0,1.0,1.0,0.0
63,63.0,GCA_001698005.1_ASM169800v1_genomic,2.0,1.0,1.0,0.0
64,64.0,GCA_001698025.1_ASM169802v1_genomic,1.0,1.0,0.0,0.0
65,65.0,GCA_001698045.1_ASM169804v1_genomic,2.0,1.0,1.0,0.0
66,66.0,GCA_001698065.1_ASM169806v1_genomic,2.0,1.0,1.0,0.0
67,67.0,GCA_001698085.1_ASM169808v1_genomic,1.0,1.0,0.0,0.0
68,68.0,GCA_001698105.1_ASM169810v1_genomic,2.0,1.0,1.0,0.0
69,69.0,GCA_001750825.1_ASM175082v1_genomic,3.0,2.0,0.0,1.0
70,70.0,GCA_001974965.1_ASM197496v1_genomic,2.0,1.0,0.0,1.0
71,71.0,GCA_002073235.1_ASM207323v1_genomic,3.0,1.0,1.0,1.0
72,72.0,GCA_002073275.1_ASM207327v1_genomic,2.0,1.0,0.0,1.0
73,73.0,GCA_002073555.1_ASM207355v1_genomic,3.0,1.0,0.0,2.0
74,74.0,GCA_002073575.1_ASM207357v1_genomic,2.0,2.0,0.0,0.0
75,75.0,GCA_002073595.1_ASM207359v1_genomic,2.0,1.0,0.0,1.0
76,76.0,GCA_002073675.1_ASM207367v1_genomic,2.0,1.0,1.0,0.0
77,77.0,GCA_002075815.1_ASM207581v1_genomic,2.0,1.0,1.0,0.0
